ID         , Name              , Type    , Hint
ul         , s                 , s       , s
10000100001, 蓝钻              , 货币    , 
10000100002, 银币              , 货币    , 
10000100003, 金币              , 货币    , 
10000100004, 交易牌            , 货币    , 
10000100005, 海掠者硬币        , 货币    , 
10000100011, 和谐碎片          , 货币    , T2 狗粮
10000100012, 荣誉碎片          , 货币    , T3 狗粮
10000100013, 命运碎片          , 货币    , T4 狗粮
10000200001, 破坏石碎片        , 精炼材料, T2
10000200002, 守护石碎片        , 精炼材料, T2
10000200003, 和谐突破石        , 精炼材料, T2
10000200011, 破坏石结晶        , 精炼材料, T3
10000200012, 守护石结晶        , 精炼材料, T3
10000200013, 伟大荣誉突破石    , 精炼材料, T3
10000200014, 奥莱赫融合材料    , 精炼材料, T3
10000200021, 破坏强石          , 精炼材料, T3 梦幻
10000200022, 守护强石          , 精炼材料, T3 梦幻
10000200023, 神奇荣誉突破石    , 精炼材料, T3 梦幻
10000200024, 高级奥莱赫融合材料, 精炼材料, T3 梦幻
10000200031, 精炼破坏强石      , 精炼材料, T3 瘟疫
10000200032, 精炼守护强石      , 精炼材料, T3 瘟疫
10000200033, 灿烂荣誉突破石    , 精炼材料, T3 瘟疫
10000200034, 顶级奥莱赫融合材料, 精炼材料, T3 瘟疫
10000200041, 命运破坏石        , 精炼材料, T4
10000200042, 命运守护石        , 精炼材料, T4
10000200043, 命运突破石        , 精炼材料, T4
10000200044, 阿比多斯融合材料  , 精炼材料, T4
